date,time,gate_dir,vehicle_model[0],vehicle_model[1],vehicle_model[2],vehicle_model[3],vehicle_model[4],vehicle_model[5],vehicle_model[6],vehicle_model[7],has_etc[0],has_etc[1],working_day,total_volume
'2016-09-19','00:00:00',0,0,10,1,0,0,2,0,0,9,4,1,13
'2016-09-19','00:00:00',1,0,125,7,2,2,0,0,4,107,33,1,140
'2016-09-19','00:00:00',2,0,1,1,0,0,0,0,0,2,0,1,2
'2016-09-19','00:00:00',3,0,11,0,2,0,3,0,1,17,0,1,17
'2016-09-19','00:00:00',4,0,162,6,4,5,2,0,2,135,46,1,181
'2016-09-19','00:20:00',0,0,6,0,0,0,0,0,0,5,1,1,6
'2016-09-19','00:20:00',1,0,41,5,1,6,1,0,2,46,10,1,56
'2016-09-19','00:20:00',2,0,0,0,0,0,0,0,0,0,0,1,0
'2016-09-19','00:20:00',3,0,14,1,1,0,0,0,0,15,1,1,16
'2016-09-19','00:20:00',4,0,92,13,2,3,1,0,1,77,35,1,112
'2016-09-19','00:40:00',0,0,6,1,0,1,1,0,0,8,1,1,9
'2016-09-19','00:40:00',1,0,20,8,2,1,0,0,0,26,5,1,31
'2016-09-19','00:40:00',2,0,0,0,0,0,0,0,0,0,0,1,0
'2016-09-19','00:40:00',3,0,13,2,1,0,0,0,0,15,1,1,16
'2016-09-19','00:40:00',4,0,73,8,7,3,1,0,1,68,25,1,93
'2016-09-19','01:00:00',0,0,7,0,0,0,3,0,0,9,1,1,10
'2016-09-19','01:00:00',1,0,3,1,0,0,0,0,0,3,1,1,4
'2016-09-19','01:00:00',2,0,1,0,0,0,0,0,0,0,1,1,1
'2016-09-19','01:00:00',3,0,16,0,0,0,1,0,0,16,1,1,17
'2016-09-19','01:00:00',4,0,4,0,0,0,0,0,0,3,1,1,4
'2016-09-19','01:20:00',0,1,10,1,1,0,1,0,0,11,3,1,14
'2016-09-19','01:20:00',1,0,9,3,0,0,2,0,0,12,2,1,14
'2016-09-19','01:20:00',2,0,0,0,0,0,0,0,0,0,0,1,0
'2016-09-19','01:20:00',3,0,14,0,1,0,2,0,0,15,2,1,17
'2016-09-19','01:20:00',4,0,4,0,0,0,1,0,0,4,1,1,5
'2016-09-19','01:40:00',0,0,9,0,0,0,1,0,0,10,0,1,10
'2016-09-19','01:40:00',1,0,5,1,1,0,0,0,0,6,1,1,7
'2016-09-19','01:40:00',2,0,2,0,0,0,0,0,0,0,2,1,2
'2016-09-19','01:40:00',3,0,7,1,1,0,2,0,0,11,0,1,11
'2016-09-19','01:40:00',4,0,3,0,0,0,1,0,0,4,0,1,4
'2016-09-19','02:00:00',0,0,3,1,0,1,2,0,0,6,1,1,7
'2016-09-19','02:00:00',1,0,4,1,0,0,2,0,0,6,1,1,7
'2016-09-19','02:00:00',2,0,0,0,0,0,0,0,0,0,0,1,0
'2016-09-19','02:00:00',3,0,10,1,0,0,0,0,0,11,0,1,11
'2016-09-19','02:00:00',4,0,3,1,0,0,1,0,0,5,0,1,5
'2016-09-19','02:20:00',0,0,3,5,0,0,2,0,0,9,1,1,10
'2016-09-19','02:20:00',1,0,5,0,0,0,2,0,0,7,0,1,7
'2016-09-19','02:20:00',2,0,0,0,0,0,0,0,0,0,0,1,0
'2016-09-19','02:20:00',3,0,11,1,2,0,0,0,0,14,0,1,14
'2016-09-19','02:20:00',4,0,3,0,1,0,0,0,0,2,2,1,4
'2016-09-19','02:40:00',0,0,0,1,3,1,1,0,0,6,0,1,6
'2016-09-19','02:40:00',1,0,8,1,0,0,1,0,0,10,0,1,10
'2016-09-19','02:40:00',2,0,0,0,0,0,0,0,0,0,0,1,0
'2016-09-19','02:40:00',3,0,14,4,0,0,0,0,0,16,2,1,18
'2016-09-19','02:40:00',4,0,0,0,0,0,0,0,0,0,0,1,0
'2016-09-19','03:00:00',0,0,5,2,0,0,2,0,0,9,0,1,9
'2016-09-19','03:00:00',1,0,7,2,1,0,0,0,0,10,0,1,10
'2016-09-19','03:00:00',2,0,0,0,0,0,0,0,0,0,0,1,0
'2016-09-19','03:00:00',3,0,8,1,1,0,0,0,0,10,0,1,10
'2016-09-19','03:00:00',4,0,3,2,0,0,0,0,0,4,1,1,5
'2016-09-19','03:20:00',0,0,3,0,1,0,0,0,0,3,1,1,4
'2016-09-19','03:20:00',1,0,8,3,0,0,3,0,0,14,0,1,14
'2016-09-19','03:20:00',2,0,0,0,0,0,0,0,0,0,0,1,0
'2016-09-19','03:20:00',3,0,9,1,0,0,0,0,0,10,0,1,10
'2016-09-19','03:20:00',4,0,2,0,1,0,0,0,0,3,0,1,3
'2016-09-19','03:40:00',0,0,5,1,2,0,1,0,0,7,2,1,9
'2016-09-19','03:40:00',1,0,17,0,1,0,2,0,0,18,2,1,20
'2016-09-19','03:40:00',2,0,0,0,0,0,0,0,0,0,0,1,0
'2016-09-19','03:40:00',3,0,8,0,0,0,1,0,0,9,0,1,9
'2016-09-19','03:40:00',4,0,5,0,1,1,3,0,0,9,1,1,10
'2016-09-19','04:00:00',0,0,6,2,1,0,1,0,0,10,0,1,10
'2016-09-19','04:00:00',1,0,18,0,0,0,0,0,0,18,0,1,18
'2016-09-19','04:00:00',2,0,0,0,0,0,0,0,0,0,0,1,0
'2016-09-19','04:00:00',3,0,9,0,2,0,0,0,0,10,1,1,11
'2016-09-19','04:00:00',4,0,3,0,0,1,0,0,0,4,0,1,4
'2016-09-19','04:20:00',0,0,9,2,1,0,1,0,0,13,0,1,13
'2016-09-19','04:20:00',1,0,13,0,1,2,1,0,0,15,2,1,17
'2016-09-19','04:20:00',2,0,0,0,0,0,0,0,0,0,0,1,0
'2016-09-19','04:20:00',3,0,5,1,2,0,0,0,0,8,0,1,8
'2016-09-19','04:20:00',4,0,5,1,1,0,0,0,0,5,2,1,7
'2016-09-19','04:40:00',0,0,8,2,1,0,1,0,0,12,0,1,12
'2016-09-19','04:40:00',1,0,17,3,2,0,1,0,0,23,0,1,23
'2016-09-19','04:40:00',2,0,0,0,0,0,0,0,0,0,0,1,0
'2016-09-19','04:40:00',3,0,9,0,0,0,1,0,0,9,1,1,10
'2016-09-19','04:40:00',4,0,0,0,1,1,1,0,0,3,0,1,3
'2016-09-19','05:00:00',0,0,0,2,0,0,0,0,0,2,0,1,2
'2016-09-19','05:00:00',1,0,24,2,0,0,2,0,0,25,3,1,28
'2016-09-19','05:00:00',2,0,9,5,0,0,0,0,0,13,1,1,14
'2016-09-19','05:00:00',3,0,4,5,0,0,0,0,0,7,2,1,9
'2016-09-19','05:00:00',4,0,4,3,1,0,3,0,0,10,1,1,11
'2016-09-19','05:20:00',0,0,6,2,0,0,0,0,0,6,2,1,8
'2016-09-19','05:20:00',1,0,18,4,0,0,2,0,0,23,1,1,24
'2016-09-19','05:20:00',2,0,8,4,0,0,0,0,0,12,0,1,12
'2016-09-19','05:20:00',3,0,7,7,0,0,0,0,0,13,1,1,14
'2016-09-19','05:20:00',4,0,5,2,0,0,0,0,0,7,0,1,7
'2016-09-19','05:40:00',0,0,12,1,0,0,0,0,0,11,2,1,13
'2016-09-19','05:40:00',1,0,24,4,3,0,3,0,0,31,3,1,34
'2016-09-19','05:40:00',2,0,14,7,0,0,0,0,0,16,5,1,21
