date,time,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
'2016-07-01','00:00:00',1000.4,1005.3,225.0,2.1,26.4,94.0,0.0,
'2016-07-01','00:20:00',1000.4,1005.3,225.0,2.1,26.4,94.0,0.0,
'2016-07-01','00:40:00',1000.93192343,1005.79861182,136.944983233,3.54458673298,26.3726499815,85.1722560018,0.0,
'2016-07-01','01:00:00',1001.18523856,1006.02795932,103.561565983,4.09052440343,26.5638177524,80.0899859832,0.0,
'2016-07-01','01:20:00',1001.24021326,1006.06613168,103.020043636,4.09204707772,26.9131687237,77.4839157749,0.0,
'2016-07-01','01:40:00',1001.15833895,1005.97285464,119.793597137,3.80558997365,27.3699318452,76.3870463426,0.0,
'2016-07-01','02:00:00',1000.98609918,1005.7931976,143.344731786,3.40893895061,27.891906892,76.0843986264,0.0,
'2016-07-01','02:20:00',1000.75815415,1005.56070355,167.000556357,3.01779904334,28.4445304505,76.0684706326,0.0,
'2016-07-01','02:40:00',1000.5,1005.3,187.0,2.7,29.0,76.0,0.0,
'2016-07-01','03:00:00',1000.5,1005.3,187.0,2.7,29.0,76.0,0.0,
'2016-07-01','03:20:00',1000.5,1005.3,187.0,2.7,29.0,76.0,0.0,
'2016-07-01','03:40:00',1000.23015888,1005.02894636,201.696780389,2.48754799044,29.5364553756,75.6736391371,0.0,
'2016-07-01','04:00:00',999.961952868,1004.76037062,210.902652692,2.38672385594,30.0372167995,74.9881639081,0.0,
'2016-07-01','04:20:00',999.704912178,1004.5034451,215.356184987,2.3864194767,30.4900785598,73.9208507185,0.0,
'2016-07-01','04:40:00',999.465865037,1004.26474844,216.303021834,2.464895039,30.8866573142,72.5056707322,0.0,
'2016-07-01','05:00:00',999.249754112,1004.04905819,215.174313761,2.59513118864,31.2217938907,70.8149638271,0.0,
'2016-07-01','05:20:00',999.060221301,1003.85991537,213.350706518,2.74894126317,31.4930073537,68.9442687738,0.0,
'2016-07-01','05:40:00',998.9,1003.7,212.0,2.9,31.7,67.0,0.0,
'2016-07-01','06:00:00',998.9,1003.7,212.0,2.9,31.7,67.0,0.0,
'2016-07-01','06:20:00',998.9,1003.7,212.0,2.9,31.7,67.0,0.0,
'2016-07-01','06:40:00',998.771151166,1003.57135325,211.977302822,3.02593632336,31.8442118446,65.0896751807,0.0,
'2016-07-01','07:00:00',998.675176621,1003.4754796,213.777224599,3.1096290178,31.9284230527,63.3144117699,0.0,
'2016-07-01','07:20:00',998.613040282,1003.41335921,217.528364044,3.13983530146,31.9564026705,61.7634244691,0.0,
'2016-07-01','07:40:00',998.585125181,1003.38539813,223.021067088,3.11127351763,31.932601901,60.5102695033,0.0,
'2016-07-01','08:00:00',998.591151309,1003.39134111,229.760145258,3.02427236802,31.8618900709,59.6105954543,0.0,
'2016-07-01','08:20:00',998.630076531,1003.43016902,237.034960667,2.88409031688,31.7493313274,59.1011742767,0.0,
'2016-07-01','08:40:00',998.7,1003.5,244.0,2.7,31.6,59.0,0.0,
'2016-07-01','09:00:00',998.7,1003.5,244.0,2.7,31.6,59.0,0.0,
'2016-07-01','09:20:00',998.7,1003.5,244.0,2.7,31.6,59.0,0.0,
'2016-07-01','09:40:00',998.798084689,1003.59801076,249.759775973,2.48422367795,31.4188324603,59.3072564988,0.0,
'2016-07-01','10:00:00',998.920512843,1003.72039165,253.452610792,2.25079697832,31.2105132064,60.0069695876,0.0,
'2016-07-01','10:20:00',999.062485354,1003.86234633,254.328572239,2.01442937678,30.9793927963,61.0691725773,0.0,
'2016-07-01','10:40:00',999.218273246,1004.01814396,251.817549049,1.78942107207,30.7294351482,62.4524283046,0.0,
'2016-07-01','11:00:00',999.381326651,1004.18122919,245.584168325,1.58868711538,30.4641916248,64.106564526,0.0,
'2016-07-01','11:20:00',999.544443827,1004.34439244,235.566973827,1.42293085969,30.1867992123,65.9754934423,0.0,
'2016-07-01','11:40:00',999.7,1004.5,222.0,1.3,29.9,68.0000000001,0.0,
'2016-07-01','12:00:00',999.7,1004.5,222.0,1.3,29.9,68.0,0.0,
'2016-07-01','12:20:00',999.7,1004.5,222.0,1.3,29.9,68.0000000001,0.0,
'2016-07-01','12:40:00',999.840232961,1004.6402808,205.415592713,1.22444968055,29.606179066,70.1203974902,0.0,
'2016-07-01','13:00:00',999.957579552,1004.75766402,186.628043734,1.19732835035,29.3074177657,72.2789628447,0.0,
'2016-07-01','13:20:00',1000.04505438,1004.84515865,166.698322037,1.2161932538,29.0055593197,74.4220779075,0.0,
'2016-07-01','13:40:00',1000.09665927,1004.89676353,146.880901106,1.27535364807,28.7022834911,76.5020168334,0.0,
'2016-07-01','14:00:00',1000.10780914,1004.90789361,128.55439748,1.36633104446,28.3991870393,78.478333647,0.0,
'2016-07-01','14:20:00',1000.07575729,1004.87580513,113.138451837,1.47851697619,28.0978665328,80.3188178694,0.0,
'2016-07-01','14:40:00',1000.0,1004.8,102.000000001,1.6,27.8000000001,82.0000000001,0.0,
'2016-07-01','15:00:00',1000.0,1004.8,102.0,1.6,27.8,82.0,0.0,
'2016-07-01','15:20:00',1000.0,1004.8,102.000000001,1.6,27.8000000001,82.0000000001,0.0,
'2016-07-01','15:40:00',999.882637929,1004.68258655,96.3527973112,1.71852484464,27.5074237925,83.5072025162,0.0,
'2016-07-01','16:00:00',999.728668649,1004.52857119,97.1547758806,1.8225378242,27.22220093,84.8341459292,0.0,
'2016-07-01','16:20:00',999.546181998,1004.34605271,105.008530317,1.90226383977,26.9466770965,85.9821333198,0.0,
'2016-07-01','16:40:00',999.346427106,1004.14628809,120.070943573,1.95075149789,26.6835203457,86.9588506428,0.0,
'2016-07-01','17:00:00',999.14371713,1003.94359594,141.978680644,1.9648140797,26.4357404781,87.776833977,0.0,
'2016-07-01','17:20:00',998.955134915,1003.75506099,169.796993912,1.94578529995,26.2066839405,88.4516687693,0.0,
'2016-07-01','17:40:00',998.8,1003.6,202.000000002,1.90000000001,26.0000000003,89.0000000003,0.0,
'2016-07-01','18:00:00',998.8,1003.6,202.0,1.9,26.0,89.0,0.0,
'2016-07-01','18:20:00',998.8,1003.6,202.000000002,1.90000000001,26.0000000003,89.0000000003,0.0,
'2016-07-01','18:40:00',998.699054575,1003.49914707,236.491304089,1.83890112477,25.8195738391,89.4374460755,0.0,
'2016-07-01','19:00:00',998.673323182,1003.47351299,270.674563642,1.7786655379,25.6694221092,89.7765231251,0.0,
'2016-07-01','19:20:00',998.742598144,1003.5428711,301.584299717,1.73923243592,25.5535463884,90.0247002707,0.0,
'2016-07-01','19:40:00',998.923499895,1003.72381883,326.087979896,1.74260932612,25.4757398692,90.1827202961,0.0,
'2016-07-01','20:00:00',999.227058583,1004.02736158,341.171113134,1.81032173904,25.4393425107,90.2433340351,0.0,
'2016-07-01','20:20:00',999.655760485,1004.45596258,344.317812759,1.95986405134,25.4469397796,90.1906106689,0.0,
'2016-07-01','20:40:00',1000.2,1005.00000001,334.000000005,2.20000000004,25.5000000005,90.0000000007,0.0,
'2016-07-01','21:00:00',1000.2,1005.0,334.0,2.2,25.5,90.0,0.0,
'2016-07-01','21:20:00',1000.2,1005.00000001,334.000000005,2.20000000004,25.5000000005,90.0000000007,0.0,
'2016-07-01','21:40:00',1000.83387511,1005.6335692,310.289136488,2.52475267456,25.5984452349,89.6393366528,0.0,
