"time_window","gate_dir",vehicle_model[0],vehicle_model[1],vehicle_model[2],vehicle_model[3],vehicle_model[4],vehicle_model[5],vehicle_model[6],vehicle_model[7],has_etc[0],has_etc[1],vehicle_type[0],vehicle_type[1],no_type,total_volume,working_day
"[2016-09-19 18:40:00,2016-09-19 19:00:00)","0","0","16","2","0","0","0","0","0","17","1","0","0","18","18","1"
"[2016-09-19 18:40:00,2016-09-19 19:00:00)","1","0","59","2","1","2","1","0","0","41","24","56","9","0","65","1"
"[2016-09-19 18:40:00,2016-09-19 19:00:00)","2","0","44","3","0","1","0","0","1","36","13","0","0","49","49","1"
"[2016-09-19 18:40:00,2016-09-19 19:00:00)","3","0","44","17","0","0","0","0","0","52","9","0","0","61","61","1"
"[2016-09-19 18:40:00,2016-09-19 19:00:00)","4","0","70","4","1","1","1","0","0","53","24","72","5","0","77","1"
"[2016-10-10 02:00:00,2016-10-10 02:20:00)","0","0","3","2","0","0","1","0","0","5","1","0","0","6","6","1"
"[2016-10-10 02:00:00,2016-10-10 02:20:00)","1","0","3","2","0","0","1","0","0","5","1","2","4","0","6","1"
"[2016-10-10 02:00:00,2016-10-10 02:20:00)","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"[2016-10-10 02:00:00,2016-10-10 02:20:00)","3","0","11","0","0","0","0","0","0","11","0","0","0","11","11","1"
"[2016-10-10 02:00:00,2016-10-10 02:20:00)","4","0","0","0","1","0","1","0","0","2","0","0","2","0","2","1"
"[2016-09-27 23:20:00,2016-09-27 23:40:00)","0","0","1","2","0","0","1","0","0","4","0","0","0","4","4","1"
"[2016-09-27 23:20:00,2016-09-27 23:40:00)","1","0","12","4","1","0","0","0","0","13","4","8","9","0","17","1"
"[2016-09-27 23:20:00,2016-09-27 23:40:00)","2","0","7","5","0","0","0","0","0","11","1","0","0","12","12","1"
"[2016-09-27 23:20:00,2016-09-27 23:40:00)","3","0","8","7","0","0","0","0","0","14","1","0","0","15","15","1"
"[2016-09-27 23:20:00,2016-09-27 23:40:00)","4","0","9","0","0","0","0","0","0","8","1","7","2","0","9","1"
"[2016-09-22 09:00:00,2016-09-22 09:20:00)","0","0","38","4","0","1","0","0","0","30","13","0","0","43","43","1"
"[2016-09-22 09:00:00,2016-09-22 09:20:00)","1","0","106","8","3","3","2","0","1","99","24","91","32","0","123","1"
"[2016-09-22 09:00:00,2016-09-22 09:20:00)","2","0","83","10","1","0","0","0","2","68","28","0","0","96","96","1"
"[2016-09-22 09:00:00,2016-09-22 09:20:00)","3","0","132","16","2","1","0","0","0","102","49","0","0","151","151","1"
"[2016-09-22 09:00:00,2016-09-22 09:20:00)","4","0","107","2","4","1","1","0","1","86","30","102","14","0","116","1"
"[2016-09-27 19:40:00,2016-09-27 20:00:00)","0","0","47","5","0","0","3","0","0","52","3","0","0","55","55","1"
"[2016-09-27 19:40:00,2016-09-27 20:00:00)","1","0","23","4","2","0","1","0","1","24","7","18","13","0","31","1"
