,tollgate_id,time_window,direction,volume,start_time
0,2.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0.0,2.0,2016-09-19 00:00:00
1,1.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0.0,13.0,2016-09-19 00:00:00
2,1.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1.0,140.0,2016-09-19 00:00:00
3,3.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0.0,17.0,2016-09-19 00:00:00
4,3.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1.0,181.0,2016-09-19 00:00:00
5,3.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0.0,16.0,2016-09-19 00:20:00
6,3.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1.0,112.0,2016-09-19 00:20:00
7,1.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0.0,6.0,2016-09-19 00:20:00
8,1.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1.0,56.0,2016-09-19 00:20:00
9,1.0,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0.0,9.0,2016-09-19 00:40:00
10,1.0,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1.0,31.0,2016-09-19 00:40:00
11,3.0,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0.0,16.0,2016-09-19 00:40:00
12,3.0,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1.0,93.0,2016-09-19 00:40:00
13,1.0,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0.0,10.0,2016-09-19 01:00:00
14,1.0,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1.0,4.0,2016-09-19 01:00:00
15,2.0,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0.0,1.0,2016-09-19 01:00:00
16,3.0,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0.0,17.0,2016-09-19 01:00:00
17,3.0,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1.0,4.0,2016-09-19 01:00:00
18,3.0,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0.0,17.0,2016-09-19 01:20:00
19,3.0,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1.0,5.0,2016-09-19 01:20:00
20,1.0,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0.0,14.0,2016-09-19 01:20:00
21,1.0,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1.0,14.0,2016-09-19 01:20:00
22,3.0,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0.0,11.0,2016-09-19 01:40:00
23,3.0,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",1.0,4.0,2016-09-19 01:40:00
24,1.0,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0.0,10.0,2016-09-19 01:40:00
25,1.0,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",1.0,7.0,2016-09-19 01:40:00
26,2.0,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0.0,2.0,2016-09-19 01:40:00
27,3.0,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0.0,11.0,2016-09-19 02:00:00
28,3.0,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",1.0,5.0,2016-09-19 02:00:00
29,1.0,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0.0,7.0,2016-09-19 02:00:00
30,1.0,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",1.0,7.0,2016-09-19 02:00:00
31,3.0,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0.0,14.0,2016-09-19 02:20:00
32,3.0,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",1.0,4.0,2016-09-19 02:20:00
33,1.0,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0.0,10.0,2016-09-19 02:20:00
34,1.0,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",1.0,7.0,2016-09-19 02:20:00
35,3.0,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",0.0,18.0,2016-09-19 02:40:00
36,1.0,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",0.0,6.0,2016-09-19 02:40:00
37,1.0,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",1.0,10.0,2016-09-19 02:40:00
38,1.0,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",0.0,9.0,2016-09-19 03:00:00
39,1.0,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",1.0,10.0,2016-09-19 03:00:00
40,3.0,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",0.0,10.0,2016-09-19 03:00:00
41,3.0,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",1.0,5.0,2016-09-19 03:00:00
42,3.0,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",0.0,10.0,2016-09-19 03:20:00
43,3.0,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",1.0,3.0,2016-09-19 03:20:00
44,1.0,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",0.0,4.0,2016-09-19 03:20:00
45,1.0,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",1.0,14.0,2016-09-19 03:20:00
46,1.0,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",0.0,9.0,2016-09-19 03:40:00
47,1.0,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",1.0,20.0,2016-09-19 03:40:00
48,3.0,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",0.0,9.0,2016-09-19 03:40:00
49,3.0,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",1.0,10.0,2016-09-19 03:40:00
50,3.0,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",0.0,11.0,2016-09-19 04:00:00
51,3.0,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",1.0,4.0,2016-09-19 04:00:00
52,1.0,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",0.0,10.0,2016-09-19 04:00:00
53,1.0,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",1.0,18.0,2016-09-19 04:00:00
54,1.0,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",0.0,13.0,2016-09-19 04:20:00
55,1.0,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",1.0,17.0,2016-09-19 04:20:00
56,3.0,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",0.0,8.0,2016-09-19 04:20:00
57,3.0,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",1.0,7.0,2016-09-19 04:20:00
58,3.0,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",0.0,10.0,2016-09-19 04:40:00
59,3.0,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",1.0,3.0,2016-09-19 04:40:00
60,1.0,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",0.0,12.0,2016-09-19 04:40:00
61,1.0,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",1.0,23.0,2016-09-19 04:40:00
62,1.0,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0.0,2.0,2016-09-19 05:00:00
63,1.0,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",1.0,28.0,2016-09-19 05:00:00
64,2.0,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0.0,14.0,2016-09-19 05:00:00
65,3.0,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0.0,9.0,2016-09-19 05:00:00
66,3.0,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",1.0,11.0,2016-09-19 05:00:00
67,2.0,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",0.0,12.0,2016-09-19 05:20:00
68,1.0,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",0.0,8.0,2016-09-19 05:20:00
69,1.0,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",1.0,24.0,2016-09-19 05:20:00
70,3.0,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",0.0,14.0,2016-09-19 05:20:00
71,3.0,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",1.0,7.0,2016-09-19 05:20:00
72,1.0,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",0.0,13.0,2016-09-19 05:40:00
73,1.0,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",1.0,34.0,2016-09-19 05:40:00
74,2.0,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",0.0,21.0,2016-09-19 05:40:00
75,3.0,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",0.0,27.0,2016-09-19 05:40:00
76,3.0,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",1.0,13.0,2016-09-19 05:40:00
77,1.0,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",0.0,8.0,2016-09-19 06:00:00
78,1.0,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",1.0,39.0,2016-09-19 06:00:00
79,2.0,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",0.0,30.0,2016-09-19 06:00:00
80,3.0,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",0.0,39.0,2016-09-19 06:00:00
81,3.0,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",1.0,30.0,2016-09-19 06:00:00
82,1.0,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",0.0,13.0,2016-09-19 06:20:00
83,1.0,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",1.0,57.0,2016-09-19 06:20:00
84,2.0,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",0.0,36.0,2016-09-19 06:20:00
85,3.0,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",0.0,58.0,2016-09-19 06:20:00
86,3.0,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",1.0,38.0,2016-09-19 06:20:00
87,3.0,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",0.0,71.0,2016-09-19 06:40:00
88,3.0,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",1.0,65.0,2016-09-19 06:40:00
89,2.0,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",0.0,37.0,2016-09-19 06:40:00
90,1.0,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",0.0,32.0,2016-09-19 06:40:00
91,1.0,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",1.0,72.0,2016-09-19 06:40:00
92,3.0,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",0.0,127.0,2016-09-19 07:00:00
93,3.0,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",1.0,67.0,2016-09-19 07:00:00
94,2.0,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",0.0,84.0,2016-09-19 07:00:00
95,1.0,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",0.0,39.0,2016-09-19 07:00:00
96,1.0,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",1.0,70.0,2016-09-19 07:00:00
97,1.0,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",0.0,31.0,2016-09-19 07:20:00
98,1.0,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",1.0,83.0,2016-09-19 07:20:00
99,3.0,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",0.0,123.0,2016-09-19 07:20:00
100,3.0,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",1.0,71.0,2016-09-19 07:20:00
101,2.0,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",0.0,80.0,2016-09-19 07:20:00
102,1.0,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",0.0,43.0,2016-09-19 07:40:00
103,1.0,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",1.0,118.0,2016-09-19 07:40:00
104,3.0,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",0.0,153.0,2016-09-19 07:40:00
105,3.0,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",1.0,103.0,2016-09-19 07:40:00
106,2.0,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",0.0,97.0,2016-09-19 07:40:00
107,1.0,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",0.0,46.0,2016-09-19 08:00:00
108,1.0,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",1.0,123.0,2016-09-19 08:00:00
109,3.0,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",0.0,161.0,2016-09-19 08:00:00
110,3.0,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",1.0,118.0,2016-09-19 08:00:00
111,2.0,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",0.0,129.0,2016-09-19 08:00:00
