tollgate_id,time_window,direction,volume,start_time,date,time,day_of_week,week_day_1,week_day_2,week_day_3,week_day_4,week_day_5,week_day_6,week_day_7,is_weekend,month,day,hour,minute,time_win_label
2.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0.0,2.0,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0
1.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0.0,13.0,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0
1.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1.0,140.0,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0
3.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0.0,17.0,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0
3.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1.0,181.0,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0
3.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0.0,16.0,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1
3.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1.0,112.0,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1
1.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0.0,6.0,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1
1.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1.0,56.0,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1
2.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0.0,0.0,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1
1.0,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0.0,9.0,2016-09-19 00:40:00,2016-09-19,00:40:00,1,1,0,0,0,0,0,0,0,9,19,0,40,2
1.0,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1.0,31.0,2016-09-19 00:40:00,2016-09-19,00:40:00,1,1,0,0,0,0,0,0,0,9,19,0,40,2
3.0,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0.0,16.0,2016-09-19 00:40:00,2016-09-19,00:40:00,1,1,0,0,0,0,0,0,0,9,19,0,40,2
3.0,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1.0,93.0,2016-09-19 00:40:00,2016-09-19,00:40:00,1,1,0,0,0,0,0,0,0,9,19,0,40,2
2.0,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0.0,0.0,2016-09-19 00:40:00,2016-09-19,00:40:00,1,1,0,0,0,0,0,0,0,9,19,0,40,2
1.0,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0.0,10.0,2016-09-19 01:00:00,2016-09-19,01:00:00,1,1,0,0,0,0,0,0,0,9,19,1,0,3
1.0,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1.0,4.0,2016-09-19 01:00:00,2016-09-19,01:00:00,1,1,0,0,0,0,0,0,0,9,19,1,0,3
2.0,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0.0,1.0,2016-09-19 01:00:00,2016-09-19,01:00:00,1,1,0,0,0,0,0,0,0,9,19,1,0,3
3.0,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0.0,17.0,2016-09-19 01:00:00,2016-09-19,01:00:00,1,1,0,0,0,0,0,0,0,9,19,1,0,3
3.0,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1.0,4.0,2016-09-19 01:00:00,2016-09-19,01:00:00,1,1,0,0,0,0,0,0,0,9,19,1,0,3
3.0,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0.0,17.0,2016-09-19 01:20:00,2016-09-19,01:20:00,1,1,0,0,0,0,0,0,0,9,19,1,20,4
3.0,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1.0,5.0,2016-09-19 01:20:00,2016-09-19,01:20:00,1,1,0,0,0,0,0,0,0,9,19,1,20,4
1.0,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0.0,14.0,2016-09-19 01:20:00,2016-09-19,01:20:00,1,1,0,0,0,0,0,0,0,9,19,1,20,4
1.0,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1.0,14.0,2016-09-19 01:20:00,2016-09-19,01:20:00,1,1,0,0,0,0,0,0,0,9,19,1,20,4
2.0,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0.0,0.0,2016-09-19 01:20:00,2016-09-19,01:20:00,1,1,0,0,0,0,0,0,0,9,19,1,20,4
3.0,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0.0,11.0,2016-09-19 01:40:00,2016-09-19,01:40:00,1,1,0,0,0,0,0,0,0,9,19,1,40,5
3.0,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",1.0,4.0,2016-09-19 01:40:00,2016-09-19,01:40:00,1,1,0,0,0,0,0,0,0,9,19,1,40,5
1.0,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0.0,10.0,2016-09-19 01:40:00,2016-09-19,01:40:00,1,1,0,0,0,0,0,0,0,9,19,1,40,5
