tollgate_id,time_window,direction,volume,start_time,date,time,day_of_week,week_day_1,week_day_2,week_day_3,week_day_4,week_day_5,week_day_6,week_day_7,is_weekend,month,day,hour,minute,time_win_label,lengthSum,widthSum,lanesSum,laneWidthSum,intersectionNum,linkNum
2,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,2,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0,384,42,14,18,1,6
1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,13,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0,2371,150,50,63,2,21
1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1,140,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0,2371,150,50,63,2,21
3,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,17,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0,2535,162,54,63,3,21
3,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1,181,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0,2535,162,54,63,3,21
3,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,16,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1,2535,162,54,63,3,21
3,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1,112,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1,2535,162,54,63,3,21
1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,6,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1,2371,150,50,63,2,21
1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1,56,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1,2371,150,50,63,2,21
1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,9,2016-09-19 00:40:00,2016-09-19,00:40:00,1,1,0,0,0,0,0,0,0,9,19,0,40,2,2371,150,50,63,2,21
1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1,31,2016-09-19 00:40:00,2016-09-19,00:40:00,1,1,0,0,0,0,0,0,0,9,19,0,40,2,2371,150,50,63,2,21
3,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,16,2016-09-19 00:40:00,2016-09-19,00:40:00,1,1,0,0,0,0,0,0,0,9,19,0,40,2,2535,162,54,63,3,21
