tollgate_id,time_window,direction,volume,start_time,date,time,day_of_week,week_day_1,week_day_2,week_day_3,week_day_4,week_day_5,week_day_6,week_day_7,is_weekend,month,day,hour,minute,time_win_label,lengthSum,widthSum,lanesSum,laneWidthSum,intersectionNum,linkNum,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
2.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0.0,2.0,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0,384,42,14,18,1,6,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
1.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0.0,13.0,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0,2371,150,50,63,2,21,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
1.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1.0,140.0,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0,2371,150,50,63,2,21,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
3.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0.0,17.0,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0,2535,162,54,63,3,21,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
3.0,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1.0,181.0,2016-09-19 00:00:00,2016-09-19,00:00:00,1,1,0,0,0,0,0,0,0,9,19,0,0,0,2535,162,54,63,3,21,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
3.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0.0,16.0,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1,2535,162,54,63,3,21,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
3.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1.0,112.0,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1,2535,162,54,63,3,21,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
1.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0.0,6.0,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1,2371,150,50,63,2,21,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
1.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1.0,56.0,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1,2371,150,50,63,2,21,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
2.0,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0.0,0.0,2016-09-19 00:20:00,2016-09-19,00:20:00,1,1,0,0,0,0,0,0,0,9,19,0,20,1,384,42,14,18,1,6,1008.2,1013.2,329.0,2.8,22.2,76.0,0.0
