tollgate_id,time_window,direction,volume,start_time,date,time,day_of_week,week_day_1,week_day_2,week_day_3,week_day_4,week_day_5,week_day_6,week_day_7,is_weekend,month,day,hour,minute,time_win_label,lengthSum,widthSum,lanesSum,laneWidthSum,intersectionNum,linkNum,vehicle_model[0]_2h_ago,vehicle_model[1]_2h_ago,vehicle_model[2]_2h_ago,vehicle_model[3]_2h_ago,vehicle_model[4]_2h_ago,vehicle_model[5]_2h_ago,vehicle_model[6]_2h_ago,vehicle_model[7]_2h_ago,has_etc[0]_2h_ago,has_etc[1]_2h_ago,working_day_2h_ago,total_volume_2h_ago,vehicle_model[0]_1d2h_ago,vehicle_model[1]_1d2h_ago,vehicle_model[2]_1d2h_ago,vehicle_model[3]_1d2h_ago,vehicle_model[4]_1d2h_ago,vehicle_model[5]_1d2h_ago,vehicle_model[6]_1d2h_ago,vehicle_model[7]_1d2h_ago,has_etc[0]_1d2h_ago,has_etc[1]_1d2h_ago,working_day_1d2h_ago,total_volume_1d2h_ago,total_volume,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
3.0,"[2016-09-20 02:00:00,2016-09-20 02:20:00)",0.0,12.0,2016-09-20 02:00:00,2016-09-20,02:00:00,2,0,1,0,0,0,0,0,0,9,20,2,0,6,2535,162,54,63,3,21,0,15,2,0,0,0,0,0,15,2,1,17,0,11,0,2,0,3,0,1,17,0,1,17,12,1013.856,1018.856,653.627,3.755,22.826,62.482,0.0
3.0,"[2016-09-20 02:00:00,2016-09-20 02:20:00)",1.0,4.0,2016-09-20 02:00:00,2016-09-20,02:00:00,2,0,1,0,0,0,0,0,0,9,20,2,0,6,2535,162,54,63,3,21,0,211,11,5,0,3,0,1,172,59,1,231,0,162,6,4,5,2,0,2,135,46,1,181,4,1013.856,1018.856,653.627,3.755,22.826,62.482,0.0
1.0,"[2016-09-20 02:00:00,2016-09-20 02:20:00)",0.0,6.0,2016-09-20 02:00:00,2016-09-20,02:00:00,2,0,1,0,0,0,0,0,0,9,20,2,0,6,2371,150,50,63,2,21,0,11,1,0,1,1,0,0,13,1,1,14,0,10,1,0,0,2,0,0,9,4,1,13,6,1013.856,1018.856,653.627,3.755,22.826,62.482,0.0
1.0,"[2016-09-20 02:00:00,2016-09-20 02:20:00)",1.0,8.0,2016-09-20 02:00:00,2016-09-20,02:00:00,2,0,1,0,0,0,0,0,0,9,20,2,0,6,2371,150,50,63,2,21,0,111,11,4,8,3,0,2,114,25,1,139,0,125,7,2,2,0,0,4,107,33,1,140,8,1013.856,1018.856,653.627,3.755,22.826,62.482,0.0
2.0,"[2016-09-20 02:00:00,2016-09-20 02:20:00)",0.0,0.0,2016-09-20 02:00:00,2016-09-20,02:00:00,2,0,1,0,0,0,0,0,0,9,20,2,0,6,384,42,14,18,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,1,2,0,1013.856,1018.856,653.627,3.755,22.826,62.482,0.0
1.0,"[2016-09-20 02:20:00,2016-09-20 02:40:00)",0.0,9.0,2016-09-20 02:20:00,2016-09-20,02:20:00,2,0,1,0,0,0,0,0,0,9,20,2,20,7,2371,150,50,63,2,21,0,10,0,1,0,2,0,0,13,0,1,13,0,6,0,0,0,0,0,0,5,1,1,6,9,1013.7,1018.7,498.365,3.06,23.342,60.339,0.0
1.0,"[2016-09-20 02:20:00,2016-09-20 02:40:00)",1.0,12.0,2016-09-20 02:20:00,2016-09-20,02:20:00,2,0,1,0,0,0,0,0,0,9,20,2,20,7,2371,150,50,63,2,21,0,54,8,5,9,2,0,2,69,11,1,80,0,41,5,1,6,1,0,2,46,10,1,56,12,1013.7,1018.7,498.365,3.06,23.342,60.339,0.0
3.0,"[2016-09-20 02:20:00,2016-09-20 02:40:00)",0.0,17.0,2016-09-20 02:20:00,2016-09-20,02:20:00,2,0,1,0,0,0,0,0,0,9,20,2,20,7,2535,162,54,63,3,21,0,10,2,1,0,0,0,0,13,0,1,13,0,14,1,1,0,0,0,0,15,1,1,16,17,1013.7,1018.7,498.365,3.06,23.342,60.339,0.0
3.0,"[2016-09-20 02:20:00,2016-09-20 02:40:00)",1.0,4.0,2016-09-20 02:20:00,2016-09-20,02:20:00,2,0,1,0,0,0,0,0,0,9,20,2,20,7,2535,162,54,63,3,21,0,139,2,3,1,1,0,2,99,49,1,148,0,92,13,2,3,1,0,1,77,35,1,112,4,1013.7,1018.7,498.365,3.06,23.342,60.339,0.0
2.0,"[2016-09-20 02:20:00,2016-09-20 02:40:00)",0.0,0.0,2016-09-20 02:20:00,2016-09-20,02:20:00,2,0,1,0,0,0,0,0,0,9,20,2,20,7,384,42,14,18,1,6,0,2,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1013.7,1018.7,498.365,3.06,23.342,60.339,0.0
