"tollgate_id","time_window_month","time_window_day","time_window_hour","time_window_minute","direction","volume"
"2",9,19,0,0,0,2
"3",9,19,0,0,0,17
"3",9,19,0,0,1,181
"1",9,19,0,0,0,13
"1",9,19,0,0,1,140
"3",9,19,0,20,0,16
"3",9,19,0,20,1,112
"1",9,19,0,20,0,6
"1",9,19,0,20,1,56
"3",9,19,0,40,0,16
"3",9,19,0,40,1,93
"1",9,19,0,40,0,9
"1",9,19,0,40,1,31
"2",9,19,1,0,0,1
"3",9,19,1,0,0,17
"3",9,19,1,0,1,4
"1",9,19,1,0,0,10
"1",9,19,1,0,1,4
"3",9,19,1,20,0,17
"3",9,19,1,20,1,5
"1",9,19,1,20,0,14
"1",9,19,1,20,1,14
"2",9,19,1,40,0,2
"3",9,19,1,40,0,11
"3",9,19,1,40,1,4
"1",9,19,1,40,0,10
"1",9,19,1,40,1,7
"3",9,19,2,0,0,11
"3",9,19,2,0,1,5
"1",9,19,2,0,0,7
"1",9,19,2,0,1,7
"3",9,19,2,20,0,14
"3",9,19,2,20,1,4
"1",9,19,2,20,0,10
"1",9,19,2,20,1,7
"3",9,19,2,40,0,18
"1",9,19,2,40,0,6
"1",9,19,2,40,1,10
"3",9,19,3,0,0,10
"3",9,19,3,0,1,5
"1",9,19,3,0,0,9
"1",9,19,3,0,1,10
"3",9,19,3,20,0,10
"3",9,19,3,20,1,3
"1",9,19,3,20,0,4
"1",9,19,3,20,1,14
"3",9,19,3,40,0,9
"3",9,19,3,40,1,10
"1",9,19,3,40,0,9
"1",9,19,3,40,1,20
"3",9,19,4,0,0,11
"3",9,19,4,0,1,4
"1",9,19,4,0,0,10
"1",9,19,4,0,1,18
"3",9,19,4,20,0,8
"3",9,19,4,20,1,7
"1",9,19,4,20,0,13
"1",9,19,4,20,1,17
"3",9,19,4,40,0,10
"3",9,19,4,40,1,3
"1",9,19,4,40,0,12
"1",9,19,4,40,1,23
"2",9,19,5,0,0,14
"3",9,19,5,0,0,9
"3",9,19,5,0,1,11
"1",9,19,5,0,0,2
"1",9,19,5,0,1,28
"2",9,19,5,20,0,12
"3",9,19,5,20,0,14
"3",9,19,5,20,1,7
"1",9,19,5,20,0,8
"1",9,19,5,20,1,24
"2",9,19,5,40,0,21
"3",9,19,5,40,0,27
"3",9,19,5,40,1,13
"1",9,19,5,40,0,13
"1",9,19,5,40,1,34
"2",9,19,6,0,0,30
"3",9,19,6,0,0,39
"3",9,19,6,0,1,30
"1",9,19,6,0,0,8
"1",9,19,6,0,1,39
"2",9,19,6,20,0,36
"3",9,19,6,20,0,58
"3",9,19,6,20,1,38
"1",9,19,6,20,0,13
"1",9,19,6,20,1,57
"2",9,19,6,40,0,37
"3",9,19,6,40,0,71
"3",9,19,6,40,1,65
"1",9,19,6,40,0,32
"1",9,19,6,40,1,72
"2",9,19,7,0,0,84
"3",9,19,7,0,0,127
"3",9,19,7,0,1,67
"1",9,19,7,0,0,39
"1",9,19,7,0,1,70
"2",9,19,7,20,0,80
"3",9,19,7,20,0,123
"3",9,19,7,20,1,71
"1",9,19,7,20,0,31
"1",9,19,7,20,1,83
"2",9,19,7,40,0,97
"3",9,19,7,40,0,153
"3",9,19,7,40,1,103
"1",9,19,7,40,0,43
"1",9,19,7,40,1,118
"2",9,19,8,0,0,129
"3",9,19,8,0,0,161
"3",9,19,8,0,1,118
"1",9,19,8,0,0,46
"1",9,19,8,0,1,123
"2",9,19,8,20,0,122
"3",9,19,8,20,0,167
"3",9,19,8,20,1,168
"1",9,19,8,20,0,56
"1",9,19,8,20,1,119
"2",9,19,8,40,0,98
"3",9,19,8,40,0,138
"3",9,19,8,40,1,161
"1",9,19,8,40,0,41
"1",9,19,8,40,1,116
"2",9,19,9,0,0,89
"3",9,19,9,0,0,174
"3",9,19,9,0,1,145
"1",9,19,9,0,0,50
"1",9,19,9,0,1,120
"2",9,19,9,20,0,78
"3",9,19,9,20,0,144
"3",9,19,9,20,1,125
"1",9,19,9,20,0,49
"1",9,19,9,20,1,151
"2",9,19,9,40,0,59
"3",9,19,9,40,0,148
"3",9,19,9,40,1,116
"1",9,19,9,40,0,44
"1",9,19,9,40,1,131
"2",9,19,10,0,0,71
"3",9,19,10,0,0,104
"3",9,19,10,0,1,117
"1",9,19,10,0,0,44
"1",9,19,10,0,1,101
"2",9,19,10,20,0,88
"3",9,19,10,20,0,111
"3",9,19,10,20,1,87
"1",9,19,10,20,0,44
"1",9,19,10,20,1,105
"2",9,19,10,40,0,65
"3",9,19,10,40,0,122
"3",9,19,10,40,1,85
"1",9,19,10,40,0,44
"1",9,19,10,40,1,102
"2",9,19,11,0,0,50
"3",9,19,11,0,0,111
"3",9,19,11,0,1,73
"1",9,19,11,0,0,39
"1",9,19,11,0,1,86
"2",9,19,11,20,0,61
"3",9,19,11,20,0,82
"3",9,19,11,20,1,72
"1",9,19,11,20,0,30
"1",9,19,11,20,1,76
"2",9,19,11,40,0,46
"3",9,19,11,40,0,91
"3",9,19,11,40,1,73
"1",9,19,11,40,0,34
"1",9,19,11,40,1,100
"2",9,19,12,0,0,87
"3",9,19,12,0,0,104
"3",9,19,12,0,1,94
"1",9,19,12,0,0,45
"1",9,19,12,0,1,99
"2",9,19,12,20,0,66
"3",9,19,12,20,0,91
"3",9,19,12,20,1,86
"1",9,19,12,20,0,44
"1",9,19,12,20,1,70
"2",9,19,12,40,0,69
"3",9,19,12,40,0,122
"3",9,19,12,40,1,94
"1",9,19,12,40,0,53
"1",9,19,12,40,1,79
"2",9,19,13,0,0,81
"3",9,19,13,0,0,117
"3",9,19,13,0,1,91
"1",9,19,13,0,0,57
"1",9,19,13,0,1,100
"2",9,19,13,20,0,95
"3",9,19,13,20,0,107
"3",9,19,13,20,1,110
"1",9,19,13,20,0,61
"1",9,19,13,20,1,108
"2",9,19,13,40,0,67
"3",9,19,13,40,0,131
"3",9,19,13,40,1,100
"1",9,19,13,40,0,53
"1",9,19,13,40,1,106
"2",9,19,14,0,0,66
"3",9,19,14,0,0,100
"3",9,19,14,0,1,95
"1",9,19,14,0,0,55
"1",9,19,14,0,1,101
"2",9,19,14,20,0,62
"3",9,19,14,20,0,84
"3",9,19,14,20,1,99
"1",9,19,14,20,0,52
"1",9,19,14,20,1,100
"2",9,19,14,40,0,79
"3",9,19,14,40,0,107
"3",9,19,14,40,1,93
"1",9,19,14,40,0,52
"1",9,19,14,40,1,101
"2",9,19,15,0,0,77
"3",9,19,15,0,0,117
"3",9,19,15,0,1,75
"1",9,19,15,0,0,48
"1",9,19,15,0,1,77
"2",9,19,15,20,0,67
"3",9,19,15,20,0,109
"3",9,19,15,20,1,95
"1",9,19,15,20,0,57
"1",9,19,15,20,1,104
"2",9,19,15,40,0,74
"3",9,19,15,40,0,115
"3",9,19,15,40,1,83
"1",9,19,15,40,0,43
"1",9,19,15,40,1,92
"2",9,19,16,0,0,76
"3",9,19,16,0,0,123
"3",9,19,16,0,1,101
"1",9,19,16,0,0,42
"1",9,19,16,0,1,110
"2",9,19,16,20,0,86
"3",9,19,16,20,0,111
"3",9,19,16,20,1,90
"1",9,19,16,20,0,46
"1",9,19,16,20,1,122
"2",9,19,16,40,0,99
"3",9,19,16,40,0,116
"3",9,19,16,40,1,115
"1",9,19,16,40,0,55
"1",9,19,16,40,1,116
"2",9,19,17,0,0,85
"3",9,19,17,0,0,110
"3",9,19,17,0,1,86
"1",9,19,17,0,0,36
"1",9,19,17,0,1,96
"2",9,19,17,20,0,72
"3",9,19,17,20,0,118
"3",9,19,17,20,1,85
"1",9,19,17,20,0,34
"1",9,19,17,20,1,116
"2",9,19,17,40,0,53
"3",9,19,17,40,0,95
"3",9,19,17,40,1,91
"1",9,19,17,40,0,24
"1",9,19,17,40,1,112
"2",9,19,18,0,0,55
"3",9,19,18,0,0,94
"3",9,19,18,0,1,73
"1",9,19,18,0,0,29
"1",9,19,18,0,1,67
"2",9,19,18,20,0,50
"3",9,19,18,20,0,56
"3",9,19,18,20,1,78
"1",9,19,18,20,0,27
"1",9,19,18,20,1,94
"2",9,19,18,40,0,49
"3",9,19,18,40,0,61
"3",9,19,18,40,1,77
"1",9,19,18,40,0,18
"1",9,19,18,40,1,65
"2",9,19,19,0,0,44
"3",9,19,19,0,0,51
"3",9,19,19,0,1,44
"1",9,19,19,0,0,13
"1",9,19,19,0,1,62
"2",9,19,19,20,0,49
"3",9,19,19,20,0,61
"3",9,19,19,20,1,45
"1",9,19,19,20,0,22
"1",9,19,19,20,1,44
"2",9,19,19,40,0,41
"3",9,19,19,40,0,50
"3",9,19,19,40,1,46
"1",9,19,19,40,0,27
"1",9,19,19,40,1,41
"2",9,19,20,0,0,56
"3",9,19,20,0,0,55
"3",9,19,20,0,1,32
"1",9,19,20,0,0,17
"1",9,19,20,0,1,48
"2",9,19,20,20,0,21
"3",9,19,20,20,0,29
"3",9,19,20,20,1,40
"1",9,19,20,20,0,16
"1",9,19,20,20,1,34
"2",9,19,20,40,0,35
"3",9,19,20,40,0,41
"3",9,19,20,40,1,42
"1",9,19,20,40,0,17
"1",9,19,20,40,1,39
"2",9,19,21,0,0,29
"3",9,19,21,0,0,32
"3",9,19,21,0,1,30
