date,time,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
2016-07-01,00:00:00,1000.4,1005.3,225.0,2.1,26.4,94.0,0.0,
2016-07-01,00:20:00,1000.4,1005.3,225.0,2.1,26.4,94.0,0.0,
2016-07-01,00:40:00,1000.932,1005.799,136.945,3.545,26.373,85.172,0.0,
2016-07-01,01:00:00,1001.185,1006.028,103.562,4.091,26.564,80.09,0.0,
2016-07-01,01:20:00,1001.24,1006.066,103.02,4.092,26.913,77.484,0.0,
2016-07-01,01:40:00,1001.158,1005.973,119.794,3.806,27.37,76.387,0.0,
2016-07-01,02:00:00,1000.986,1005.793,143.345,3.409,27.892,76.084,0.0,
2016-07-01,02:20:00,1000.758,1005.561,167.001,3.018,28.445,76.068,0.0,
2016-07-01,02:40:00,1000.5,1005.3,187.0,2.7,29.0,76.0,0.0,
2016-07-01,03:00:00,1000.5,1005.3,187.0,2.7,29.0,76.0,0.0,
2016-07-01,03:20:00,1000.5,1005.3,187.0,2.7,29.0,76.0,0.0,
2016-07-01,03:40:00,1000.23,1005.029,201.697,2.488,29.536,75.674,0.0,
2016-07-01,04:00:00,999.962,1004.76,210.903,2.387,30.037,74.988,0.0,
2016-07-01,04:20:00,999.705,1004.503,215.356,2.386,30.49,73.921,0.0,
2016-07-01,04:40:00,999.466,1004.265,216.303,2.465,30.887,72.506,0.0,
2016-07-01,05:00:00,999.25,1004.049,215.174,2.595,31.222,70.815,0.0,
2016-07-01,05:20:00,999.06,1003.86,213.351,2.749,31.493,68.944,0.0,
2016-07-01,05:40:00,998.9,1003.7,212.0,2.9,31.7,67.0,0.0,
2016-07-01,06:00:00,998.9,1003.7,212.0,2.9,31.7,67.0,0.0,
2016-07-01,06:20:00,998.9,1003.7,212.0,2.9,31.7,67.0,0.0,
2016-07-01,06:40:00,998.771,1003.571,211.977,3.026,31.844,65.09,0.0,
2016-07-01,07:00:00,998.675,1003.475,213.777,3.11,31.928,63.314,0.0,
2016-07-01,07:20:00,998.613,1003.413,217.528,3.14,31.956,61.763,0.0,
2016-07-01,07:40:00,998.585,1003.385,223.021,3.111,31.933,60.51,0.0,
2016-07-01,08:00:00,998.591,1003.391,229.76,3.024,31.862,59.611,0.0,
2016-07-01,08:20:00,998.63,1003.43,237.035,2.884,31.749,59.101,0.0,
2016-07-01,08:40:00,998.7,1003.5,244.0,2.7,31.6,59.0,0.0,
2016-07-01,09:00:00,998.7,1003.5,244.0,2.7,31.6,59.0,0.0,
2016-07-01,09:20:00,998.7,1003.5,244.0,2.7,31.6,59.0,0.0,
2016-07-01,09:40:00,998.798,1003.598,249.76,2.484,31.419,59.307,0.0,
2016-07-01,10:00:00,998.921,1003.72,253.453,2.251,31.211,60.007,0.0,
2016-07-01,10:20:00,999.062,1003.862,254.329,2.014,30.979,61.069,0.0,
2016-07-01,10:40:00,999.218,1004.018,251.818,1.789,30.729,62.452,0.0,
2016-07-01,11:00:00,999.381,1004.181,245.584,1.589,30.464,64.107,0.0,
2016-07-01,11:20:00,999.544,1004.344,235.567,1.423,30.187,65.975,0.0,
2016-07-01,11:40:00,999.7,1004.5,222.0,1.3,29.9,68.0,0.0,
2016-07-01,12:00:00,999.7,1004.5,222.0,1.3,29.9,68.0,0.0,
2016-07-01,12:20:00,999.7,1004.5,222.0,1.3,29.9,68.0,0.0,
2016-07-01,12:40:00,999.84,1004.64,205.416,1.224,29.606,70.12,0.0,
2016-07-01,13:00:00,999.958,1004.758,186.628,1.197,29.307,72.279,0.0,
2016-07-01,13:20:00,1000.045,1004.845,166.698,1.216,29.006,74.422,0.0,
2016-07-01,13:40:00,1000.097,1004.897,146.881,1.275,28.702,76.502,0.0,
2016-07-01,14:00:00,1000.108,1004.908,128.554,1.366,28.399,78.478,0.0,
2016-07-01,14:20:00,1000.076,1004.876,113.138,1.479,28.098,80.319,0.0,
2016-07-01,14:40:00,1000.0,1004.8,102.0,1.6,27.8,82.0,0.0,
2016-07-01,15:00:00,1000.0,1004.8,102.0,1.6,27.8,82.0,0.0,
2016-07-01,15:20:00,1000.0,1004.8,102.0,1.6,27.8,82.0,0.0,
2016-07-01,15:40:00,999.883,1004.683,96.353,1.719,27.507,83.507,0.0,
2016-07-01,16:00:00,999.729,1004.529,97.155,1.823,27.222,84.834,0.0,
2016-07-01,16:20:00,999.546,1004.346,105.009,1.902,26.947,85.982,0.0,
2016-07-01,16:40:00,999.346,1004.146,120.071,1.951,26.684,86.959,0.0,
2016-07-01,17:00:00,999.144,1003.944,141.979,1.965,26.436,87.777,0.0,
2016-07-01,17:20:00,998.955,1003.755,169.797,1.946,26.207,88.452,0.0,
2016-07-01,17:40:00,998.8,1003.6,202.0,1.9,26.0,89.0,0.0,
2016-07-01,18:00:00,998.8,1003.6,202.0,1.9,26.0,89.0,0.0,
2016-07-01,18:20:00,998.8,1003.6,202.0,1.9,26.0,89.0,0.0,
2016-07-01,18:40:00,998.699,1003.499,236.491,1.839,25.82,89.437,0.0,
2016-07-01,19:00:00,998.673,1003.474,270.675,1.779,25.669,89.777,0.0,
2016-07-01,19:20:00,998.743,1003.543,301.584,1.739,25.554,90.025,0.0,
2016-07-01,19:40:00,998.923,1003.724,326.088,1.743,25.476,90.183,0.0,
2016-07-01,20:00:00,999.227,1004.027,341.171,1.81,25.439,90.243,0.0,
2016-07-01,20:20:00,999.656,1004.456,344.318,1.96,25.447,90.191,0.0,
2016-07-01,20:40:00,1000.2,1005.0,334.0,2.2,25.5,90.0,0.0,
2016-07-01,21:00:00,1000.2,1005.0,334.0,2.2,25.5,90.0,0.0,
2016-07-01,21:20:00,1000.2,1005.0,334.0,2.2,25.5,90.0,0.0,
2016-07-01,21:40:00,1000.834,1005.634,310.289,2.525,25.598,89.639,0.0,
2016-07-01,22:00:00,1001.51,1006.31,275.605,2.906,25.74,89.071,0.0,
2016-07-01,22:20:00,1002.155,1006.954,235.617,3.284,25.92,88.255,0.0,
2016-07-01,22:40:00,1002.661,1007.459,200.315,3.557,26.131,87.156,0.0,
2016-07-01,23:00:00,1002.879,1007.677,185.263,3.567,26.36,85.747,0.0,
2016-07-01,23:20:00,1002.611,1007.41,213.055,3.087,26.591,84.02,0.0,
2016-07-01,23:40:00,1001.6,1006.4,315.0,1.8,26.8,82.0,0.0,
2016-07-02,00:00:00,1001.6,1006.4,315.0,1.8,26.8,82.0,0.0,
2016-07-02,00:20:00,1001.6,1006.4,315.0,1.8,26.8,82.0,0.0,
2016-07-02,00:40:00,1000.965,1005.71,719.487,4.411,26.137,88.328,0,
2016-07-02,01:00:00,1000.925,1005.645,829.127,5.523,26.28,88.731,0,
2016-07-02,01:20:00,1001.195,1005.914,759.567,5.679,26.891,85.797,0,
2016-07-02,01:40:00,1001.581,1006.311,595.846,5.279,27.72,81.393,0,
2016-07-02,02:00:00,1001.953,1006.704,398.115,4.613,28.587,76.802,0,
2016-07-02,02:20:00,1002.237,1007.013,206.618,3.878,29.372,72.849,0,
2016-07-02,02:40:00,1002.4,1007.2,46.0,3.2,30.0,70.0,0.0,
2016-07-02,03:00:00,1002.4,1007.2,46.0,3.2,30.0,70.0,0.0,
2016-07-02,03:20:00,1002.4,1007.2,46.0,3.2,30.0,70.0,0.0,
2016-07-02,03:40:00,1002.435,1007.258,0,2.65,30.432,68.454,1.651,
